sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,date
28.310000000000002,-14.121,123.5467277,1985-07-02,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
28.02,-14.121,123.5467277,1985-07-03,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
27.77,-14.121,123.5467277,1985-07-04,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
27.82,-14.121,123.5467277,1985-07-05,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
27.35,-14.121,123.5467277,1985-07-06,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
27.1,-14.121,123.5467277,1985-07-07,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
27.330000000000002,-14.121,123.5467277,1985-07-08,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
27.28,-14.121,123.5467277,1985-07-09,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
27.740000000000002,-14.121,123.5467277,1985-07-10,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
27.5,-14.121,123.5467277,1985-07-11,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
27.2,-14.121,123.5467277,1985-07-12,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
27.27,-14.121,123.5467277,1985-07-13,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.85,-14.121,123.5467277,1985-07-14,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.44,-14.121,123.5467277,1985-07-15,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.01,-14.121,123.5467277,1985-07-16,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
25.650000000000002,-14.121,123.5467277,1985-07-17,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
25.52,-14.121,123.5467277,1985-07-18,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
25.75,-14.121,123.5467277,1985-07-19,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
25.490000000000002,-14.121,123.5467277,1985-07-20,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.13,-14.121,123.5467277,1985-07-21,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.14,-14.121,123.5467277,1985-07-22,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.62,-14.121,123.5467277,1985-07-23,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.7,-14.121,123.5467277,1985-07-24,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
25.650000000000002,-14.121,123.5467277,1985-07-25,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
25.23,-14.121,123.5467277,1985-07-26,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
25.36,-14.121,123.5467277,1985-07-27,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.09,-14.121,123.5467277,1985-07-28,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.21,-14.121,123.5467277,1985-07-29,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.28,-14.121,123.5467277,1985-07-30,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.5,-14.121,123.5467277,1985-07-31,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
26.66,-14.121,123.5467277,1985-08-01,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Aug
26.72,-14.121,123.5467277,1985-08-02,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Aug
